33491|63206|-1
4181|14746|0
12713|8529|-1
2914|393225|-1
3356|32848|-1
34288|59414|0
33915|200482|-1
18106|23673|0
9121|31085|-1
1299|43666|-1
3252|44608|0
25074|48345|0
9329|34781|0
10026|133734|0
10026|57043|0
22548|28340|0
16657|25716|-1
25227|200020|0
8399|42541|0
12741|200839|-1
206819|132233|-1
9189|43561|0
28275|53067|0
16276|18106|0
49605|50352|0
60890|204055|-1
50673|42910|-1
4809|266492|-1
1299|50533|-1
10084|24315|-1
7545|20485|0
3356|41135|-1
38880|51531|0
1267|198898|-1
21336|34019|0
28788|45352|0
28676|34019|0
29608|61198|0
52720|265277|0
30132|49784|0
174|200043|-1
15623|34788|0
15839|30844|0
9498|132251|-1
28649|262350|-1
53070|265065|0
9050|48314|-1
34714|52023|-1
7029|40609|-1
8455|54113|0
41695|43531|0
3356|36459|-1
35320|3261|-1
8323|15541|-1
3356|46485|-1
14537|45629|0
1103|7713|0
49505|200487|-1
28929|29075|0
26615|266094|-1
28158|266913|-1
10297|22652|0
36236|204207|0
6461|17309|-1
51405|63949|0
9189|20459|0
263151|263651|0
553|44444|0
9002|42031|-1
28218|52863|0
5578|29076|0
1126|58511|0
262757|264295|0
47631|50300|0
49605|203969|0
23709|24516|0
701|33745|-1
7029|11393|-1
53072|263152|0
24482|202611|0
263945|264397|0
600|26247|-1
37497|59410|0
4648|133366|-1
10010|24268|-1
13791|46539|-1
30132|50923|0
24399|58524|-1
46353|394197|-1
29606|37497|0
6939|22300|-1
10032|36236|0
29140|33843|0
43561|198765|-1
37100|50812|0
15935|25238|-1
20849|25220|0
4844|38740|0
262757|264589|0
24482|197696|0
3303|43828|-1
23838|23916|-1
41966|41312|-1
52863|262489|0
23520|263817|-1
5089|203749|-1
12637|28876|0
1239|3648|-1
15702|38880|0
8708|14537|0
25933|262454|0
9253|9902|0
48461|64396|0
8426|15377|0
28220|266039|0
6779|37497|0
34781|61438|0
11922|18106|0
260|15623|0
3356|21013|-1
28712|57512|-1
2828|13649|-1
3356|20187|-1
8608|30781|0
30844|61317|0
174|32762|-1
3269|202975|-1
9498|132384|-1
5645|40470|0
37122|41695|0
48345|49605|0
5645|5664|0
3356|26435|-1
1140|12552|0
9304|10222|0
53246|264268|0
4323|263556|0
29075|48983|0
8922|15605|0
33353|11795|-1
12586|31400|0
15805|30781|0
8487|18106|0
15547|44219|0
3549|262676|-1
14537|29449|0
15835|39821|0
12510|13237|0
19092|4043|-1
31078|34177|0
6453|33680|-1
58511|394749|0
24482|30919|0
3257|51863|-1
5769|18650|0
8283|31319|0
12779|51263|0
3356|2551|-1
34288|49375|0
6128|22012|-1
1680|12859|0
3255|34019|0
8529|41695|0
1299|33409|-1
25227|51326|0
56242|131708|-1
1136|199937|0
28663|36351|0
1764|49685|0
6830|21040|-1
553|25074|0
13951|23459|-1
4589|9137|0
2707|395723|-1
264911|266065|0
26554|18590|-1
8452|45352|0
263584|266137|0
8447|203923|0
52940|264582|0
13237|50673|0
13249|29107|-1
1221|132405|-1
8426|9063|0
174|22446|-1
14840|53131|0
29226|47872|0
262191|264718|-1
3333|44608|0
2613|50796|0
31631|38880|0
28571|262790|0
41435|197901|-1
8764|35407|-1
36236|41090|0
34820|12917|-1
8399|12779|0
45352|198726|0
22548|53079|0
1764|8732|0
262354|262822|0
8167|52856|-1
7303|52371|-1
20804|197135|-1
3356|16988|-1
22548|53172|0
35548|58211|-1
26609|262354|0
19551|52940|0
12552|34863|0
1267|29050|-1
5408|8278|-1
20965|1930|-1
21976|205|-1
23106|53003|0
17819|132146|-1
2914|134625|-1
26554|13346|-1
3356|19210|-1
8455|13122|0
37100|203568|0
11486|46372|-1
263047|263632|0
17378|20100|-1
6461|21521|-1
20552|201504|-1
11340|27897|-1
41497|50809|0
12859|23393|0
12637|34762|0
209|54786|-1
28303|262607|-1
174|23368|-1
22689|265278|-1
1299|49335|-1
7018|63467|-1
3326|6876|-1
42158|49605|0
